                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.61861,                 0.3442,                0.99059,                0.99148,                 0.9969,                0.99441,                0.86636,                0.58502,                0.25192,                0.97064,             0.00023507,             0.00023507,             0.00023507
                     71,                0.60589,                0.34057,                0.98509,                0.99037,                 0.9984,                0.99491,                0.86386,                 0.5992,                0.25523,                0.98394,              0.0002333,              0.0002333,              0.0002333
                     72,                0.62924,                0.34906,                0.98814,                0.99066,                0.99965,                  0.995,                0.86073,                0.60095,                0.25275,                0.99285,             0.00023153,             0.00023153,             0.00023153
                     73,                0.60865,                0.33217,                0.97722,                0.99183,                0.99806,                 0.9944,                 0.8689,                0.59528,                 0.2492,                0.98546,             0.00022977,             0.00022977,             0.00022977
                     74,                0.61732,                0.33936,                0.98722,                0.99253,                0.99814,                0.99489,                0.86222,                0.60846,                0.25496,                0.98465,               0.000228,               0.000228,               0.000228
                     75,                0.60404,                0.33441,                0.98125,                 0.9914,                 0.9984,                0.99441,                0.86999,                0.59092,                0.25196,                0.97356,             0.00022623,             0.00022623,             0.00022623
                     76,                0.60045,                0.33064,                0.97823,                0.99424,                      1,                  0.995,                0.86701,                0.58045,                0.24374,                  0.972,             0.00022446,             0.00022446,             0.00022446
                     77,                0.61526,                0.33253,                0.98604,                 0.9919,                0.99862,                0.99418,                0.86974,                0.60098,                0.25404,                0.98079,              0.0002227,              0.0002227,              0.0002227
                     78,                0.61264,                0.33679,                0.98938,                0.99411,                      1,                  0.995,                0.87294,                0.58486,                0.24538,                0.97025,             0.00022093,             0.00022093,             0.00022093
                     79,                0.59248,                0.32553,                0.97246,                0.99282,                 0.9998,                  0.995,                 0.8726,                0.59128,                0.24639,                0.97023,             0.00021916,             0.00021916,             0.00021916
                     80,                0.60511,                0.33696,                0.98452,                0.99204,                0.99848,                0.99477,                0.87228,                0.57823,                0.24543,                0.96623,              0.0002174,              0.0002174,              0.0002174
                     81,                0.60996,                0.33001,                0.98064,                0.99158,                 0.9984,                0.99485,                0.87297,                0.58037,                0.24363,                0.96938,             0.00021563,             0.00021563,             0.00021563
                     82,                 0.5964,                0.33141,                0.97625,                0.99063,                0.99808,                0.99483,                0.87037,                0.59087,                0.23996,                0.97632,             0.00021386,             0.00021386,             0.00021386
                     83,                0.59604,                0.32765,                0.97912,                0.99096,                0.99813,                0.99495,                0.86738,                0.58914,                0.24461,                0.97417,             0.00021209,             0.00021209,             0.00021209
                     84,                 0.6033,                0.32653,                0.98506,                0.99353,                0.99686,                0.99495,                0.86741,                0.58816,                0.24871,                0.96932,             0.00021033,             0.00021033,             0.00021033
                     85,                0.60227,                0.32866,                 0.9828,                0.99391,                0.99902,                  0.995,                 0.8689,                0.59506,                0.24427,                0.97815,             0.00020856,             0.00020856,             0.00020856
                     86,                 0.6034,                0.32336,                0.98417,                0.99557,                0.99849,                  0.995,                0.86927,                0.58854,                0.23688,                0.97302,             0.00020679,             0.00020679,             0.00020679
                     87,                0.58933,                0.31394,                0.97791,                  0.991,                0.99332,                0.99408,                0.86712,                0.59265,                0.23776,                0.97869,             0.00020503,             0.00020503,             0.00020503
                     88,                0.59625,                 0.3225,                0.97848,                0.99236,                0.99716,                0.99483,                0.87066,                0.58798,                0.24107,                0.97738,             0.00020326,             0.00020326,             0.00020326
                     89,                0.59982,                0.32197,                0.97644,                0.99148,                0.99756,                0.99363,                0.87126,                0.58835,                0.23186,                0.97324,             0.00020149,             0.00020149,             0.00020149
                     90,                0.59795,                0.32111,                 0.9761,                0.99359,                0.99672,                0.99477,                0.87008,                0.58389,                0.24095,                0.96933,             0.00019972,             0.00019972,             0.00019972
                     91,                0.60012,                0.32199,                0.97778,                0.99431,                 0.9978,                  0.995,                0.86524,                 0.6003,                0.24812,                0.97841,             0.00019796,             0.00019796,             0.00019796
                     92,                0.59495,                0.31884,                0.98063,                0.99097,                  0.998,                  0.995,                0.86988,                0.57854,                 0.2379,                0.96893,             0.00019619,             0.00019619,             0.00019619
                     93,                0.58653,                0.32409,                0.97304,                0.99074,                0.99623,                0.99303,                0.86863,                0.58047,                0.23382,                 0.9661,             0.00019442,             0.00019442,             0.00019442
                     94,                0.58714,                0.31262,                0.97228,                0.99085,                0.99701,                0.99392,                0.86756,                0.59524,                0.23445,                0.98128,             0.00019266,             0.00019266,             0.00019266
                     95,                0.59153,                0.31437,                0.97267,                0.99357,                0.99638,                 0.9939,                0.86652,                0.58805,                0.23353,                0.97286,             0.00019089,             0.00019089,             0.00019089
                     96,                0.58448,                0.31342,                0.97316,                0.99219,                0.99828,                0.99495,                0.86914,                 0.5766,                0.23157,                0.96761,             0.00018912,             0.00018912,             0.00018912
                     97,                0.58047,                0.32022,                0.96756,                0.99264,                 0.9973,                0.99491,                0.86933,                0.58274,                0.23657,                0.96636,             0.00018735,             0.00018735,             0.00018735
                     98,                0.58591,                 0.3099,                 0.9751,                0.99526,                      1,                  0.995,                0.86621,                0.59615,                0.23987,                0.98154,             0.00018559,             0.00018559,             0.00018559
                     99,                0.58657,                0.31207,                 0.9726,                0.99205,                0.99818,                0.99471,                0.86794,                0.58316,                 0.2366,                0.97586,             0.00018382,             0.00018382,             0.00018382
                    100,                0.57675,                0.30687,                0.96234,                0.99397,                0.99808,                0.99472,                0.87436,                0.57364,                0.22748,                0.96105,             0.00018205,             0.00018205,             0.00018205
                    101,                0.57697,                 0.3103,                 0.9678,                0.99189,                0.99807,                0.99454,                0.87152,                 0.5807,                0.23555,                0.96998,             0.00018028,             0.00018028,             0.00018028
